date,bank,rate,value
1998-01-01,investment,fdr_6mo,12.35
1999-01-01,investment,fdr_6mo,6.27
2000-01-01,investment,fdr_6mo,3.29
2001-01-01,investment,fdr_6mo,3.24
2002-01-01,investment,fdr_6mo,3.03
2003-01-01,investment,fdr_6mo,2.92
2004-01-01,investment,fdr_6mo,2.87
2005-01-01,investment,fdr_6mo,2.79
2006-01-01,investment,fdr_6mo,3.02
2007-01-01,investment,fdr_6mo,3.34
2008-01-01,investment,fdr_6mo,3.46
2009-01-01,investment,fdr_6mo,3.13
2010-01-01,investment,fdr_6mo,2.48
2011-01-01,investment,fdr_6mo,3.25
2012-01-01,investment,fdr_6mo,3.41
2013-01-01,investment,fdr_6mo,3.2548
2014-01-01,investment,fdr_6mo,3.363375
2015-01-01,investment,fdr_6mo,3.695457142857143
2016-01-01,investment,fdr_6mo,3.5386
2017-01-01,investment,fdr_6mo,3.613
2018-01-01,investment,fdr_6mo,3.644285714285714
2019-01-01,investment,fdr_6mo,3.773657142857143
2020-01-01,investment,fdr_6mo,3.1785714285714284
2021-01-01,investment,fdr_6mo,2.2777285714285718
2022-01-01,investment,fdr_6mo,2.0554
2023-01-01,investment,fdr_6mo,3.3437
2024-01-01,investment,fdr_6mo,3.727271428571429
1997-01-01,investment,fdr_9mo,7.43
1998-01-01,investment,fdr_9mo,10.73
1999-01-01,investment,fdr_9mo,9.1
2000-01-01,investment,fdr_9mo,3.35
2001-01-01,investment,fdr_9mo,3.4
2002-01-01,investment,fdr_9mo,3.33
2003-01-01,investment,fdr_9mo,2.8000000000000003
2004-01-01,investment,fdr_9mo,3.0
2005-01-01,investment,fdr_9mo,2.83
2006-01-01,investment,fdr_9mo,2.75
2007-01-01,investment,fdr_9mo,3.7
2008-01-01,investment,fdr_9mo,3.58
2009-01-01,investment,fdr_9mo,2.98
2010-01-01,investment,fdr_9mo,2.69
2011-01-01,investment,fdr_9mo,3.38
2012-01-01,investment,fdr_9mo,3.49
2013-01-01,investment,fdr_9mo,3.3671
2014-01-01,investment,fdr_9mo,3.390000000000001
2015-01-01,investment,fdr_9mo,3.76165
2016-01-01,investment,fdr_9mo,3.7533
2017-01-01,investment,fdr_9mo,3.3744499999999995
2018-01-01,investment,fdr_9mo,3.79445
2019-01-01,investment,fdr_9mo,3.7720000000000007
2020-01-01,investment,fdr_9mo,3.4533333333333336
2021-01-01,investment,fdr_9mo,2.64
2022-01-01,investment,fdr_9mo,2.625
2023-01-01,investment,fdr_9mo,3.5700000000000003
2024-01-01,investment,fdr_9mo,3.7916666666666674
1997-01-01,investment,fdr_12mo,7.3
1998-01-01,investment,fdr_12mo,11.98
1999-01-01,investment,fdr_12mo,6.28
2000-01-01,investment,fdr_12mo,3.83
2001-01-01,investment,fdr_12mo,3.77
2002-01-01,investment,fdr_12mo,3.31
2003-01-01,investment,fdr_12mo,3.08
2004-01-01,investment,fdr_12mo,3.08
2005-01-01,investment,fdr_12mo,2.9
2006-01-01,investment,fdr_12mo,3.0500000000000003
2007-01-01,investment,fdr_12mo,3.62
2008-01-01,investment,fdr_12mo,3.6
2009-01-01,investment,fdr_12mo,3.36
2010-01-01,investment,fdr_12mo,2.54
2011-01-01,investment,fdr_12mo,3.36
2012-01-01,investment,fdr_12mo,3.52
2013-01-01,investment,fdr_12mo,3.3167
2014-01-01,investment,fdr_12mo,3.4
2015-01-01,investment,fdr_12mo,3.794000000000001
2016-01-01,investment,fdr_12mo,3.85
2017-01-01,investment,fdr_12mo,3.811666666666666
2018-01-01,investment,fdr_12mo,3.5583333333333336
2019-01-01,investment,fdr_12mo,3.704
2020-01-01,investment,fdr_12mo,3.5866666666666664
2021-01-01,investment,fdr_12mo,2.77
2022-01-01,investment,fdr_12mo,2.3633333333333333
2023-01-01,investment,fdr_12mo,3.5200000000000005
2024-01-01,investment,fdr_12mo,3.65
1997-01-01,investment,alr,10.7
1998-01-01,investment,alr,18.71
1999-01-01,investment,alr,10.54
2000-01-01,investment,alr,7.45
2001-01-01,investment,alr,7.0
2002-01-01,investment,alr,7.0
2003-01-01,investment,alr,6.73
2004-01-01,investment,alr,6.7
2005-01-01,investment,alr,6.37
2006-01-01,investment,alr,6.6000000000000005
2007-01-01,investment,alr,6.94
2008-01-01,investment,alr,6.7
2009-01-01,investment,alr,6.93
2010-01-01,investment,alr,7.12
2011-01-01,investment,alr,7.27
2012-01-01,investment,alr,6.97
2013-01-01,investment,alr,6.6806
2014-01-01,investment,alr,6.342727272727274
2015-01-01,investment,alr,6.86962
2016-01-01,investment,alr,6.8865
2017-01-01,investment,alr,6.46611111111111
2018-01-01,investment,alr,6.2043
2019-01-01,investment,alr,6.215039999999999
2020-01-01,investment,alr,6.494890000000001
2021-01-01,investment,alr,5.75304
2022-01-01,investment,alr,5.53103
2023-01-01,investment,alr,6.57082
2024-01-01,investment,alr,6.899166666666667
